#{"t_start": 1522684763.0765584, "env_id": "BreakoutNoFrameskip-v4"}
r,l,t
2.0,203,5.449167
5.0,352,9.723383
2.0,201,12.123951
0.0,125,13.530402
3.0,230,16.221511
0.0,125,17.585819
2.0,218,20.125465
1.0,174,22.13166
4.0,278,25.489685
0.0,127,26.911933
1.0,172,28.914006
0.0,123,30.297256
4.0,266,33.48827
0.0,129,34.938788
0.0,127,36.346716
0.0,129,37.825391
0.0,129,39.277941
0.0,127,40.709573
1.0,175,42.710025
1.0,152,44.457426
2.0,205,46.850703
0.0,127,48.336442
2.0,222,51.018614
2.0,204,53.428223
3.0,251,56.428718
2.0,220,59.041448
1.0,171,61.043685
1.0,173,63.04564
2.0,202,65.399041
0.0,129,66.882231
7.0,423,71.976431
1.0,155,73.752574
0.0,127,75.200399
0.0,127,76.672439
0.0,123,78.033018
2.0,204,80.445477
2.0,200,82.782351
1.0,176,84.800076
1.0,172,86.791922
0.0,125,88.186832
0.0,127,89.65429
1.0,177,91.736321
3.0,272,94.997702
0.0,129,96.462543
0.0,125,97.843076
1.0,157,99.721939
1.0,177,101.795766
0.0,127,103.21248
0.0,125,104.6459
2.0,223,107.306558
1.0,175,109.402723
0.0,125,110.812986
2.0,198,113.16083
1.0,174,115.170971
3.0,252,118.25803
1.0,173,120.328218
0.0,127,121.814504
0.0,129,123.305813
0.0,129,124.742789
4.0,303,128.456322
0.0,123,129.876546
0.0,127,132.470439
0.0,127,134.843381
2.0,223,139.632511
2.0,203,143.44458
2.0,202,147.535534
1.0,155,150.587262
0.0,125,152.82662
1.0,175,156.051251
0.0,127,158.331658
0.0,127,160.681683
2.0,225,164.53257
2.0,206,168.364381
0.0,127,170.384455
2.0,221,174.587726
2.0,188,178.007971
10.0,453,187.086582
0.0,123,189.401789
0.0,127,191.539365
1.0,155,194.456775
2.0,201,198.378218
2.0,202,202.142198
1.0,172,205.655293
1.0,174,208.835654
3.0,272,213.790272
0.0,127,216.460601
0.0,127,218.659822
0.0,129,220.966761
3.0,230,225.363278
2.0,223,229.844617
0.0,129,231.968246
3.0,268,237.513731
2.0,202,241.255519
1.0,157,244.215501
0.0,129,246.308707
0.0,129,248.744103
0.0,129,251.051387
0.0,129,253.096022
0.0,129,255.174377
0.0,125,257.449373
