#{"t_start": 1522684762.9650655, "env_id": "BreakoutNoFrameskip-v4"}
r,l,t
1.0,175,5.210194
1.0,178,7.309064
1.0,173,9.328419
1.0,152,11.069631
0.0,127,12.48885
2.0,200,14.848588
1.0,173,16.777346
3.0,252,19.763371
5.0,352,24.0441
0.0,129,25.505487
0.0,125,26.905896
1.0,175,28.927727
3.0,226,31.586936
0.0,127,33.023571
1.0,174,35.066729
0.0,127,36.503917
0.0,127,37.915079
2.0,202,40.27963
0.0,129,41.715547
4.0,324,45.596093
1.0,157,47.441993
3.0,269,50.77925
2.0,218,53.354406
3.0,237,56.132099
1.0,173,58.161171
3.0,249,61.184686
1.0,175,63.207184
2.0,202,65.572688
0.0,129,67.04308
7.0,446,72.476556
0.0,123,73.802436
0.0,127,75.250912
2.0,200,77.615017
0.0,127,79.080675
0.0,129,80.491484
3.0,253,83.496633
3.0,234,86.253531
3.0,256,89.325761
3.0,248,92.335408
2.0,200,94.640466
0.0,129,96.145195
4.0,299,99.776068
2.0,201,102.170706
3.0,226,104.884482
1.0,175,106.909177
0.0,127,108.394053
2.0,183,110.576717
2.0,187,112.765893
3.0,272,116.031757
0.0,129,117.506736
1.0,155,119.361737
1.0,175,121.46637
1.0,175,123.598875
0.0,127,125.009629
0.0,127,126.415002
0.0,129,127.905476
0.0,129,129.404532
0.0,127,131.639322
0.0,129,134.204427
0.0,129,136.592485
1.0,169,140.251032
0.0,129,142.348914
3.0,250,147.422502
2.0,223,152.054489
1.0,153,154.799157
1.0,173,157.838719
1.0,175,161.147098
3.0,235,165.213182
1.0,175,168.482379
3.0,268,173.170751
0.0,127,175.531666
1.0,153,178.271394
7.0,440,187.173735
0.0,129,189.572187
3.0,252,194.183418
0.0,129,196.842673
1.0,170,200.12864
3.0,248,204.910708
1.0,172,208.208086
0.0,125,210.103326
2.0,221,214.627187
1.0,153,217.43785
0.0,129,219.771064
2.0,202,223.493919
3.0,228,227.90427
1.0,175,231.310769
2.0,200,234.835727
0.0,129,237.65645
2.0,222,241.865682
2.0,222,245.912474
4.0,301,251.628265
2.0,202,255.082161
1.0,173,258.147127
0.0,125,260.532498
0.0,127,263.267105
0.0,127,265.39235
0.0,127,267.98423
0.0,129,270.034462
0.0,127,272.226679
0.0,129,274.248353
0.0,127,276.513571
0.0,127,278.678756
2.0,198,282.464323
0.0,125,284.734883
5.0,347,291.313604
0.0,129,294.105946
1.0,176,297.74342
1.0,178,301.369497
3.0,272,306.763659
2.0,200,310.348814
0.0,127,312.686336
3.0,252,317.457842
2.0,202,321.319633
0.0,127,323.770711
4.0,298,329.290403
3.0,272,334.251135
1.0,176,337.302536
3.0,250,342.187602
0.0,127,344.334015
5.0,329,350.909416
5.0,372,358.019197
5.0,350,364.852057
0.0,127,367.086374
0.0,127,369.621346
2.0,198,373.383755
1.0,153,376.344751
0.0,127,378.996602
8.0,352,386.322115
5.0,350,393.061409
0.0,127,394.734659
0.0,125,396.984614
0.0,127,399.15038
0.0,127,401.309738
3.0,252,406.261581
2.0,224,410.500925
2.0,202,414.226962
0.0,127,416.478875
0.0,127,418.972281
0.0,129,420.930142
0.0,127,423.28005
0.0,127,425.747896
1.0,175,428.648179
0.0,129,430.92018
0.0,127,433.335216
0.0,127,435.492451
1.0,157,438.239111
0.0,127,440.320055
0.0,127,443.063525
10.0,433,451.286028
0.0,129,453.639035
2.0,200,457.36113
5.0,350,464.643881
0.0,127,466.828636
0.0,129,469.20975
0.0,127,471.489133
0.0,129,473.554151
5.0,350,480.024642
0.0,129,482.41738
0.0,129,484.975842
0.0,129,487.346068
10.0,453,496.003029
0.0,127,498.193125
3.0,250,502.861943
9.0,404,510.283136
0.0,127,512.267126
2.0,200,515.604548
5.0,350,521.922875
2.0,200,525.30884
4.0,297,531.033892
3.0,246,535.237262
0.0,125,537.350661
0.0,125,539.249709
0.0,127,542.170782
2.0,200,546.162091
0.0,129,548.953098
2.0,202,552.374603
2.0,200,556.480998
10.0,453,565.794844
2.0,200,569.487616
0.0,129,571.491445
0.0,129,573.675806
8.0,372,581.06794
0.0,127,583.628323
0.0,127,586.053895
0.0,129,588.260772
0.0,129,591.028142
0.0,125,593.420212
5.0,352,599.961206
0.0,125,602.124884
0.0,127,604.699903
0.0,127,606.713649
1.0,155,609.855655
0.0,127,612.180445
0.0,129,614.33778
5.0,350,620.839165
0.0,125,622.756237
2.0,202,626.409079
5.0,350,633.082731
2.0,202,636.529672
2.0,200,640.437689
0.0,125,642.803649
9.0,404,650.474672
9.0,404,658.547884
0.0,129,660.693998
0.0,129,663.138242
4.0,297,668.92644
2.0,198,672.764755
6.0,377,680.168174
2.0,202,684.011384
2.0,198,687.954061
9.0,404,695.720176
0.0,127,697.847304
0.0,127,700.109557
9.0,404,707.434001
2.0,200,711.064081
0.0,129,713.456477
5.0,350,719.890452
5.0,350,726.480156
4.0,278,731.556261
5.0,350,738.091922
0.0,125,740.433566
2.0,202,743.985889
0.0,127,746.525656
0.0,129,748.597656
2.0,202,752.168521
2.0,200,755.980154
0.0,129,758.166559
5.0,350,765.525239
4.0,299,770.874448
2.0,198,774.330924
11.0,484,784.209897
2.0,202,788.053632
8.0,371,795.823746
2.0,220,799.930853
0.0,129,802.200116
0.0,129,804.442267
0.0,125,806.820057
4.0,297,812.647572
0.0,127,814.98874
2.0,202,818.641692
2.0,202,822.826908
11.0,485,832.180826
1.0,155,835.072293
0.0,129,837.353747
0.0,127,839.746007
0.0,125,841.951336
0.0,129,844.536194
1.0,157,847.090915
3.0,252,851.948805
0.0,129,854.734762
2.0,202,858.532963
0.0,129,861.061011
0.0,129,863.507799
0.0,127,865.832659
5.0,350,872.252599
9.0,404,879.478681
0.0,127,881.509422
3.0,248,886.235144
0.0,129,888.941832
0.0,129,891.493085
0.0,127,893.546379
6.0,397,901.304517
0.0,129,904.014033
9.0,404,912.107839
13.0,457,920.825565
1.0,175,924.33648
13.0,457,933.725748
4.0,319,939.578145
2.0,202,943.591429
0.0,127,945.838217
0.0,125,947.854923
0.0,125,949.94287
10.0,451,959.117631
4.0,297,964.700044
1.0,172,967.666447
0.0,129,969.971983
0.0,125,972.351319
4.0,297,977.91073
13.0,457,986.819424
1.0,157,990.094781
5.0,350,997.455291
1.0,177,1000.607437
0.0,127,1003.246786
5.0,350,1010.077644
0.0,129,1011.914106
5.0,352,1018.345589
3.0,218,1022.519441
6.0,399,1030.186031
4.0,299,1036.284557
5.0,350,1042.803405
5.0,350,1049.576514
6.0,378,1057.313109
5.0,372,1064.646487
0.0,127,1066.615146
3.0,248,1070.988781
10.0,451,1079.906168
