#{"t_start": 1522701142.7930264, "env_id": "BreakoutNoFrameskip-v4"}
r,l,t
2.0,202,3.32988
3.0,231,5.310833
4.0,298,7.856272
0.0,129,8.881813
2.0,198,10.640824
8.0,374,13.841154
1.0,177,15.266715
4.0,299,17.955172
0.0,127,18.826793
1.0,155,20.328691
1.0,178,21.892508
2.0,199,23.479302
9.0,404,27.131561
5.0,347,30.4545
4.0,321,33.257489
0.0,127,34.300573
0.0,129,35.411531
0.0,129,36.423868
0.0,129,37.516695
2.0,224,39.473691
0.0,127,40.314088
2.0,201,42.148293
0.0,125,43.133576
0.0,129,44.181326
3.0,251,46.10235
2.0,202,47.848439
0.0,127,48.895162
0.0,129,49.930494
0.0,127,50.972876
4.0,299,53.55601
5.0,350,56.550208
3.0,250,58.999247
5.0,350,62.281043
2.0,198,64.051987
0.0,129,65.128926
10.0,435,68.950276
0.0,129,69.839096
1.0,157,71.505842
1.0,173,72.944081
0.0,127,74.304457
5.0,350,78.04243
6.0,399,81.596252
2.0,202,83.422422
0.0,127,84.484462
0.0,129,85.539927
0.0,127,86.38257
1.0,175,88.049511
0.0,127,89.140965
2.0,202,90.744646
2.0,202,92.552822
0.0,129,93.414038
0.0,125,94.425456
1.0,173,95.977404
0.0,129,96.825948
2.0,186,98.526973
2.0,221,100.286091
1.0,173,101.867841
0.0,127,102.871873
0.0,127,103.705791
9.0,404,107.211448
3.0,214,109.07618
4.0,281,111.467813
2.0,184,112.880169
2.0,185,114.472512
0.0,129,115.490258
1.0,155,116.73527
5.0,350,119.551847
0.0,127,120.590311
8.0,279,122.939295
3.0,231,124.908499
1.0,153,126.087139
2.0,224,128.052563
4.0,318,130.711836
2.0,201,132.426558
3.0,233,134.191537
1.0,153,135.416297
3.0,229,137.364789
7.0,406,140.779669
9.0,473,144.867775
1.0,155,146.158778
1.0,155,147.36599
3.0,215,149.090358
3.0,233,151.08666
0.0,127,152.099663
11.0,404,155.52767
5.0,282,157.933848
2.0,204,159.678134
5.0,350,162.634082
1.0,155,163.883307
2.0,183,165.566191
4.0,263,167.812217
9.0,494,171.912154
2.0,185,174.197266
6.0,325,176.864548
5.0,365,179.998267
5.0,331,182.647569
2.0,204,184.421853
8.0,279,187.44394
2.0,222,189.38602
5.0,328,192.078712
4.0,278,194.374977
23.0,483,198.539851
8.0,279,200.865847
16.0,575,205.611377
3.0,254,207.836294
6.0,372,210.961717
5.0,329,213.599439
12.0,441,217.573923
10.0,520,221.979072
5.0,293,224.35519
8.0,279,226.670274
8.0,482,231.110442
11.0,452,234.799781
13.0,550,239.378944
6.0,376,242.548463
16.0,584,247.426183
9.0,476,251.446343
3.0,209,253.211659
9.0,326,255.838006
6.0,357,258.956548
8.0,468,262.707046
10.0,524,267.111806
10.0,555,271.724328
8.0,474,275.770509
7.0,410,279.199677
8.0,471,283.775637
6.0,418,287.269298
18.0,650,292.83772
7.0,390,296.140511
9.0,493,300.635609
17.0,581,305.521103
8.0,444,309.261753
12.0,522,313.704191
11.0,521,318.208172
15.0,547,322.748827
16.0,619,328.026505
16.0,471,332.424002
8.0,482,336.417119
17.0,577,341.571423
14.0,389,345.215597
15.0,624,350.356819
14.0,556,355.195756
11.0,519,359.569793
7.0,380,362.744498
13.0,353,365.625739
17.0,613,370.826222
11.0,518,375.229913
11.0,560,379.820003
11.0,515,384.355118
10.0,544,388.895424
14.0,347,391.9182
14.0,549,396.642052
13.0,648,402.36815
17.0,600,407.775748
17.0,618,413.132259
23.0,766,419.723197
10.0,471,423.760047
5.0,296,426.129599
19.0,604,431.086766
11.0,518,435.387128
10.0,497,439.508244
9.0,308,442.126194
10.0,541,446.948367
14.0,667,452.622858
7.0,378,455.531687
15.0,599,460.665747
17.0,394,464.043653
13.0,336,466.919593
6.0,338,469.593076
12.0,544,474.042583
