policy_entropy,eprewmean,clipfrac,fps,time_elapsed,eplenmean,nupdates,value_loss,approxkl,serial_timesteps,explained_variance,total_timesteps,policy_loss
1.3850214,0.0,0.014892578,514,1.990790605545044,129.0,1,0.099854305,0.0011846235,128,-0.03359508514404297,1024,-0.0005595902
1.3835143,1.25,0.025146484,910,3.1167051792144775,179.25,2,0.038635645,0.0008178486,256,-0.00220334529876709,2048,-0.0014293457
1.3775835,1.0769230769230769,0.0,885,4.272883892059326,170.46153846153845,3,0.028108463,0.0007156595,384,0.010915160179138184,3072,-0.0009514198
1.3588691,1.380952380952381,0.122802734,868,5.452614784240723,183.66666666666666,4,0.020958254,0.0020761387,512,0.006643712520599365,4096,-0.00062451116
1.3640842,1.2307692307692308,0.037109375,899,6.591179847717285,176.84615384615384,5,0.037371453,0.00076360843,640,0.04635864496231079,5120,-0.0016023226
1.3698792,1.2352941176470589,0.12402344,904,7.723640441894531,177.7058823529412,6,0.026934844,0.002159465,768,0.08661985397338867,6144,-0.0022841343
1.3574833,1.1794871794871795,0.05810547,773,9.047574281692505,175.56410256410257,7,0.03083786,0.0011153286,896,0.12611597776412964,7168,-0.0015542954
1.3608268,1.1555555555555554,0.041259766,883,10.206802368164062,174.93333333333334,8,0.032533146,0.0008273079,1024,0.18106824159622192,8192,-0.0024531656
1.3561001,1.3076923076923077,0.10229492,886,11.362134218215942,179.84615384615384,9,0.032327957,0.0013375795,1152,0.22857749462127686,9216,-0.00090799516
1.3619859,1.2962962962962963,0.0,947,12.44282078742981,178.90740740740742,10,0.049263738,0.00039374485,1280,0.11697584390640259,10240,-0.00022011093
1.3733139,1.5166666666666666,0.0,878,13.60909390449524,187.05,11,0.04122877,0.0005385854,1408,0.16353607177734375,11264,-1.5394675e-05
1.3746924,1.4705882352941178,0.0,884,14.766607761383057,185.86764705882354,12,0.025733732,8.93151e-05,1536,0.3184228539466858,12288,6.2198e-05
1.3716757,1.4861111111111112,0.0,941,15.854741096496582,186.75,13,0.040179364,0.00025357876,1664,0.3027936816215515,13312,-0.0003956862
1.3554695,1.4743589743589745,0.08496094,874,17.02633571624756,186.97435897435898,14,0.026269615,0.0015860491,1792,0.45298004150390625,14336,-0.0017869318
1.3645846,1.4880952380952381,0.017333984,873,18.199238538742065,187.82142857142858,15,0.034365155,0.00078046316,1920,-0.10294020175933838,15360,-0.001491098
1.369641,1.4777777777777779,0.088134766,839,19.41865563392639,187.46666666666667,16,0.02804371,0.0019760553,2048,0.325434148311615,16384,-0.0031658509
1.3623902,1.4787234042553192,0.08496094,798,20.70213031768799,187.27659574468086,17,0.038698092,0.0013548132,2176,0.37746500968933105,17408,-0.002979224
1.3615282,1.56,0.0048828125,854,21.90091347694397,190.88,18,0.031068452,0.00044921425,2304,0.35641908645629883,18432,-0.0006956021
1.3470788,1.55,0.084472656,901,23.036961555480957,190.13,19,0.02708669,0.0015051431,2432,0.45731544494628906,19456,-0.0020639119
1.3615916,1.55,0.114746094,840,24.255523204803467,190.2,20,0.024014205,0.0019150988,2560,0.2915499210357666,20480,-0.0022728674
1.3594307,1.47,0.011230469,836,25.480173587799072,186.92,21,0.016300678,0.0011961855,2688,0.6363964080810547,21504,-0.0004756379
1.354066,1.56,0.0715332,850,26.68447208404541,189.44,22,0.020600177,0.0015683874,2816,0.6336271464824677,22528,-0.0023338224
1.347595,1.49,0.0690918,839,27.904449939727783,186.38,23,0.016655773,0.0013320661,2944,0.6942556798458099,23552,-0.0016267386
1.3471874,1.56,0.0,821,29.150916814804077,189.4,24,0.042596716,0.00035234768,3072,0.5218954682350159,24576,2.972348e-05
1.3424063,1.63,0.072021484,780,30.462633848190308,192.75,25,0.03096015,0.0010745024,3200,0.5404249727725983,25600,-0.0013980553
1.3269321,1.49,0.056396484,870,31.639864444732666,187.62,26,0.021941714,0.0014530603,3328,0.7532574385404587,26624,-0.0013471774
1.3412706,1.58,0.08959961,920,32.752378940582275,191.94,27,0.027298547,0.0019596878,3456,0.6340920627117157,27648,-0.002805972
1.3268266,1.46,0.18530273,866,33.934449911117554,187.98,28,0.01568314,0.0028454373,3584,0.5813092589378357,28672,-0.003685919
1.3253292,1.46,0.021240234,874,35.106197118759155,187.63,29,0.018905578,0.0008374492,3712,0.6823875606060028,29696,-0.00027905297
1.3289919,1.4,0.017333984,877,36.27415895462036,184.58,30,0.034286167,0.00071177346,3840,0.5855994522571564,30720,-0.00072261394
1.3254302,1.46,0.068847656,885,37.43096351623535,186.77,31,0.028760327,0.0012840112,3968,0.6925196647644043,31744,-0.002605119
1.3416002,1.49,0.030273438,894,38.575571060180664,187.71,32,0.03249635,0.0006508982,4096,0.534020721912384,32768,-0.00047994315
1.3172309,1.56,0.0859375,879,39.7404510974884,189.44,33,0.021180844,0.0015923517,4224,0.6599924266338348,33792,-0.0017368332
1.3526181,1.57,0.052734375,870,40.9169716835022,189.56,34,0.027526565,0.0018104151,4352,0.6988026797771454,34816,-0.002225467
1.3464189,1.45,0.00024414062,915,42.03559589385986,184.28,35,0.027476883,0.00022098544,4480,0.7213757634162903,35840,-0.0005131627
1.3459933,1.46,0.10449219,896,43.17826533317566,184.68,36,0.023497587,0.0017119854,4608,0.6949005126953125,36864,-0.0040327124
1.338991,1.56,0.03100586,869,44.35664224624634,187.77,37,0.017736947,0.0009152743,4736,0.8203227669000626,37888,-0.0017125926
1.357106,1.57,0.020019531,949,45.43601036071777,188.24,38,0.0324614,0.00090402714,4864,0.6964572668075562,38912,-0.000913254
1.3302183,1.77,0.057128906,910,46.561399698257446,195.66,39,0.02271976,0.0018944943,4992,0.7572339624166489,39936,-0.0018296725
1.3137671,1.71,0.0859375,898,47.702006816864014,194.33,40,0.016160492,0.0019362847,5120,0.7934057116508484,40960,-0.002620827
1.32188,1.75,0.059814453,901,48.838292598724365,195.83,41,0.01917556,0.001632442,5248,0.8213740587234497,41984,-0.00017398095
1.3253202,1.74,0.048828125,888,49.99066710472107,195.08,42,0.016378159,0.0014029301,5376,0.8149339407682419,43008,-0.0013255922
1.3343287,1.73,0.036865234,895,51.13412570953369,194.54,43,0.021730775,0.000653179,5504,0.7858386337757111,44032,-0.0010400816
1.325109,1.85,0.012207031,899,52.273303747177124,198.2,44,0.009462927,0.00067378796,5632,0.9060301259160042,45056,-0.00089080224
1.3273138,1.84,0.08129883,771,53.60510969161987,197.31,45,0.010252794,0.0013886313,5760,0.8930080682039261,46080,-0.0019374958
1.335927,1.8,0.072753906,915,54.72446799278259,195.61,46,0.017072491,0.0014372966,5888,0.8288862854242325,47104,-0.0026776125
1.3362168,1.85,0.024414062,864,55.90890431404114,197.77,47,0.009357671,0.00082982087,6016,0.8962893411517143,48128,-0.0008675189
1.3309135,1.89,0.02319336,879,57.07307291030884,200.04,48,0.018490972,0.0008195186,6144,0.8228206187486649,49152,-0.001987613
1.3267571,1.84,0.09008789,702,58.530704736709595,197.57,49,0.009096828,0.0011920206,6272,0.8934213891625404,50176,-0.0026370957
1.3288896,1.78,0.15332031,855,59.72867751121521,196.05,50,0.007943283,0.0022864302,6400,0.8993096947669983,51200,-0.0038333985
1.3075047,1.73,0.037109375,884,60.88649010658264,195.12,51,0.017502014,0.0013502325,6528,0.8429422527551651,52224,-0.0015328387
1.316558,1.79,0.0925293,801,62.1651668548584,198.23,52,0.0074674836,0.001532834,6656,0.9176170974969864,53248,-0.0024578779
1.3042699,1.79,0.048583984,770,63.494696378707886,198.33,53,0.008019392,0.0011801913,6784,0.9369647949934006,54272,-0.001540974
1.3318375,1.83,0.10668945,908,64.62261939048767,199.21,54,0.00839561,0.0024023117,6912,0.9247559681534767,55296,-0.002769211
1.3383162,1.79,0.080078125,940,65.71196627616882,198.43,55,0.012755359,0.0019214083,7040,0.8891848027706146,56320,-0.0025905878
1.3522102,2.01,0.064941406,879,66.87620544433594,205.93,56,0.017671121,0.0014574737,7168,0.8103808611631393,57344,-0.0020962616
1.3603404,1.87,0.056396484,911,68.00055980682373,200.96,57,0.014248131,0.00084988005,7296,0.8436634093523026,58368,-0.0020873526
1.3470104,1.97,0.0769043,852,69.20228457450867,203.05,58,0.009583721,0.0021334076,7424,0.9151225835084915,59392,-0.0018785945
1.3573531,2.01,0.016357422,759,70.55014657974243,205.03,59,0.020512333,0.0005645562,7552,0.8022931516170502,60416,-0.0018934391
1.3529878,2.08,0.026611328,832,71.78058791160583,207.77,60,0.013264719,0.00055181293,7680,0.8713917583227158,61440,-0.0022417628
1.3530751,2.17,0.088378906,728,73.18721890449524,210.72,61,0.0144605115,0.0013592874,7808,0.8273501098155975,62464,-0.00203176
1.3504155,2.16,0.0068359375,673,74.70838284492493,210.13,62,0.0091541475,0.0007008022,7936,0.9019315987825394,63488,-0.0013663706
1.3504246,2.04,0.040771484,652,76.27815794944763,204.7,63,0.014378263,0.0008218121,8064,0.7904617339372635,64512,-0.0016304654
1.3515639,2.12,0.123291016,813,77.53770279884338,208.68,64,0.013311453,0.0017955214,8192,0.8780464753508568,65536,-0.0038658646
1.352249,2.14,0.033203125,900,78.67578482627869,209.39,65,0.020603314,0.0011276163,8320,0.7929276674985886,66560,-0.0019315018
1.3673658,2.23,0.1027832,865,79.85926032066345,212.59,66,0.017065965,0.0017865098,8448,0.7700082808732986,67584,-0.0037983113
1.3561343,2.29,0.03857422,844,81.07217383384705,214.46,67,0.026075132,0.0013901894,8576,0.5183854103088379,68608,-0.0016176461
1.357657,2.27,0.01586914,854,82.27047872543335,213.69,68,0.026052035,0.00067008584,8704,0.7537104934453964,69632,-0.001905923
1.3579047,2.28,0.01171875,878,83.43622875213623,213.82,69,0.0251442,0.00038447988,8832,0.6021502315998077,70656,-0.0018448062
1.3528857,2.37,0.025878906,892,84.58418273925781,216.17,70,0.0260754,0.0007188731,8960,0.7068315744400024,71680,-0.0022145002
1.3338484,2.37,0.029785156,889,85.73546266555786,215.71,71,0.029144749,0.0014466904,9088,0.5726411938667297,72704,-0.0019191706
1.3294091,2.37,0.13232422,859,86.92669105529785,215.45,72,0.025346493,0.0018702054,9216,0.6372278034687042,73728,-0.004275171
1.327927,2.28,0.083496094,878,88.09230732917786,212.9,73,0.011747612,0.0016305738,9344,0.7834156304597855,74752,-0.0053774677
1.3263739,2.06,0.060058594,834,89.32508945465088,205.64,74,0.016932854,0.001315256,9472,0.8261007964611053,75776,-0.0040877815
1.3289553,2.04,0.017333984,901,90.46091222763062,203.22,75,0.01593761,0.0006227633,9600,0.8130253106355667,76800,-0.0020474554
1.3282812,1.92,0.06958008,872,91.6351170539856,200.03,76,0.011734113,0.0015564471,9728,0.8420280367136002,77824,-0.003852945
1.3208226,1.91,0.103759766,886,92.79045701026917,199.09,77,0.017639,0.0020435594,9856,0.8421618193387985,78848,-0.0046088416
1.3354955,1.68,0.045898438,904,93.92338061332703,190.37,78,0.026186327,0.0010055902,9984,0.6447947919368744,79872,-0.0030246489
1.3304276,1.69,0.12182617,912,95.04640078544617,190.93,79,0.0090080295,0.001939524,10112,0.8957040384411812,80896,-0.0043264106
1.3326617,1.6,0.08129883,882,96.20662569999695,188.18,80,0.03237638,0.0015863222,10240,0.5209508240222931,81920,-0.0031075545
1.3276103,1.79,0.07543945,878,97.37240815162659,193.84,81,0.017300375,0.0012449272,10368,0.801810011267662,82944,-0.0038546254
1.3414186,1.75,0.07446289,882,98.53353238105774,191.67,82,0.019106101,0.0018437167,10496,0.7756694406270981,83968,-0.0050743707
1.3353953,1.63,0.07885742,890,99.68818640708923,188.19,83,0.013228205,0.001366639,10624,0.8319950103759766,84992,-0.0036616726
1.3395605,1.56,0.09326172,904,100.82050704956055,184.94,84,0.013329607,0.0017145234,10752,0.858127161860466,86016,-0.004648549
1.3286542,1.58,0.063964844,899,101.95949506759644,185.5,85,0.014088763,0.0016800754,10880,0.9006694480776787,87040,-0.004129817
1.325904,1.55,0.13305664,893,103.10539770126343,183.78,86,0.020059912,0.0023685012,11008,0.7983349561691284,88064,-0.0045446274
