#{"t_start": 1522714066.1641865, "env_id": "BreakoutNoFrameskip-v4"}
r,l,t
0.0,127,2.259588
0.0,127,2.551829
1.0,173,2.940379
1.0,155,3.965627
0.0,129,4.269281
2.0,202,4.702895
3.0,268,5.700095
0.0,127,6.014746
0.0,125,6.316759
1.0,159,6.710061
2.0,226,7.608851
0.0,129,7.900277
0.0,129,8.24898
0.0,129,8.579496
0.0,129,9.293743
0.0,129,9.640159
4.0,279,10.372094
2.0,204,11.197739
0.0,129,11.477204
1.0,173,11.885806
6.0,380,13.128249
0.0,127,13.409102
1.0,172,14.101379
5.0,350,14.905132
0.0,129,15.216398
0.0,127,15.812817
2.0,224,16.35936
3.0,273,17.297585
0.0,127,17.612473
0.0,129,17.901528
0.0,127,18.179422
2.0,185,18.91275
3.0,250,19.556195
0.0,129,19.850458
2.0,219,20.650636
2.0,221,21.168165
3.0,252,22.020773
0.0,127,22.327409
0.0,127,22.647509
2.0,200,23.106457
1.0,153,23.776895
2.0,224,24.307631
1.0,175,24.814122
1.0,178,25.512182
3.0,270,26.133752
1.0,157,26.477058
6.0,379,27.743262
0.0,125,28.050026
0.0,125,28.604331
3.0,248,29.161355
0.0,127,29.460223
5.0,352,30.850057
0.0,129,31.132185
0.0,125,31.424387
0.0,129,32.078064
2.0,202,32.563999
0.0,129,32.867187
1.0,155,33.25367
0.0,129,33.920459
3.0,270,34.607092
2.0,182,35.028371
0.0,129,35.639609
0.0,129,35.934037
0.0,129,36.205174
0.0,127,36.479807
0.0,127,37.078222
0.0,127,37.350724
0.0,129,37.702825
0.0,127,37.987946
0.0,127,38.295867
1.0,173,39.019155
0.0,129,39.322985
0.0,129,39.604115
10.0,432,41.00878
0.0,127,41.289979
0.0,129,41.892191
0.0,129,42.283438
0.0,129,42.582422
0.0,129,42.864165
1.0,173,43.243896
0.0,125,43.815113
12.0,530,45.543562
0.0,129,45.838946
0.0,129,46.115631
5.0,350,47.351703
7.0,322,48.11646
0.0,127,48.774039
0.0,129,49.132594
0.0,125,49.426955
1.0,170,49.837611
10.0,450,51.302691
0.0,129,51.602668
2.0,202,52.449864
0.0,129,52.751199
0.0,127,53.054324
0.0,127,53.372342
2.0,202,54.166576
0.0,127,54.463245
0.0,125,54.747041
10.0,431,56.072257
6.0,401,57.395019
0.0,127,57.693508
0.0,129,58.012439
9.0,403,59.427248
0.0,125,59.710423
0.0,127,60.244175
5.0,372,61.15559
2.0,200,61.945932
0.0,129,62.221726
0.0,129,62.511314
0.0,129,62.79055
0.0,129,63.101775
0.0,127,63.67315
2.0,200,64.110429
0.0,127,64.39644
0.0,125,64.702043
0.0,129,65.318804
0.0,129,65.601975
2.0,202,66.117927
0.0,129,66.752952
0.0,129,67.030833
0.0,127,67.303218
0.0,125,67.578305
2.0,202,68.396389
8.0,350,69.260587
2.0,200,70.019775
10.0,445,71.22802
2.0,202,72.041007
0.0,125,72.316288
0.0,125,72.610561
3.0,268,73.543876
5.0,350,74.406134
0.0,127,74.996624
0.0,129,75.336612
0.0,127,75.616947
2.0,202,76.058717
0.0,125,76.64352
0.0,129,76.917483
4.0,299,77.646808
10.0,454,79.070913
0.0,129,79.381076
0.0,129,79.989916
2.0,224,80.534284
2.0,198,80.998564
0.0,125,81.618559
0.0,125,81.889035
4.0,281,82.593986
2.0,198,83.408173
0.0,127,83.713176
0.0,127,83.992723
0.0,125,84.324095
2.0,200,85.215417
2.0,201,85.71282
12.0,431,87.132599
1.0,155,87.481525
0.0,125,88.082863
