Episode Reward
10 -200.0
20 -200.0
30 -200.0
40 -200.0
50 -200.0
60 -200.0
70 -200.0
80 -200.0
90 -200.0
100 -200.0
110 -200.0
120 -200.0
130 -200.0
140 -200.0
150 -200.0
160 -200.0
170 -200.0
180 -200.0
190 -200.0
200 -200.0
210 -200.0
220 -200.0
230 -200.0
240 -200.0
250 -200.0
260 -200.0
270 -200.0
280 -200.0
290 -200.0
300 -200.0
310 -200.0
320 -200.0
330 -200.0
340 -200.0
350 -200.0
360 -200.0
370 -200.0
380 -200.0
390 -200.0
400 -200.0
410 -200.0
420 -200.0
430 -200.0
440 -200.0
450 -200.0
460 -200.0
470 -200.0
480 -200.0
490 -200.0
500 -200.0
510 -200.0
520 -200.0
530 -200.0
540 -200.0
550 -200.0
560 -200.0
570 -200.0
580 -200.0
590 -200.0
600 -200.0
610 -200.0
620 -200.0
630 -200.0
640 -200.0
650 -200.0
660 -200.0
670 -200.0
680 -200.0
690 -200.0
700 -200.0
710 -200.0
720 -200.0
730 -200.0
740 -200.0
750 -200.0
760 -200.0
770 -199.2
780 -198.8
790 -198.2
800 -197.0
810 -195.7
820 -193.1
830 -191.1
840 -189.6
850 -187.2
860 -185.3
870 -182.8
880 -182.5
890 -181.5
900 -180.2
910 -178.6
920 -179.2
930 -179.1
940 -179.8
950 -179.1
960 -179.9
970 -181.9
980 -181.9
990 -183.6
1000 -185.5
1010 -188.5
1020 -190.5
1030 -192.6
1040 -193.0
1050 -194.5
1060 -195.7
1070 -197.0
1080 -197.6
1090 -197.6
1100 -198.1
1110 -198.1
1120 -198.1
1130 -198.1
1140 -198.6
1150 -198.7
1160 -196.4
1170 -196.4
1180 -196.4
1190 -196.1
1200 -196.1
1210 -196.1
1220 -195.6
1230 -195.1
1240 -195.1
1250 -196.5
1260 -198.7
1270 -198.1
1280 -198.1
1290 -198.4
1300 -198.4
1310 -198.4
1320 -198.9
1330 -199.4
1340 -198.9
1350 -198.8
1360 -198.8
1370 -198.8
1380 -197.5
1390 -195.3
1400 -192.5
1410 -190.3
1420 -188.6
1430 -186.6
1440 -185.0
1450 -182.7
1460 -179.0
1470 -176.9
1480 -174.7
1490 -174.6
1500 -174.9
1510 -175.2
1520 -176.6
1530 -176.1
1540 -173.1
1550 -171.8
1560 -171.8
1570 -172.4
1580 -174.9
1590 -177.3
1600 -179.8
1610 -181.7
1620 -182.0
1630 -184.4
1640 -189.6
1650 -193.3
1660 -197.0
1670 -199.0
1680 -199.8
1690 -199.8
1700 -199.8
1710 -199.8
1720 -199.8
1730 -199.2
1740 -199.2
1750 -198.8
1760 -198.8
1770 -198.8
1780 -198.1
1790 -196.2
1800 -194.8
1810 -193.2
1820 -191.0
1830 -190.0
1840 -189.4
1850 -189.7
1860 -189.7
1870 -189.4
1880 -190.3
1890 -192.2
1900 -193.6
1910 -195.1
1920 -197.4
1930 -199.0
1940 -199.6
1950 -199.6
1960 -199.6
1970 -200.0
1980 -200.0
1990 -200.0
2000 -200.0
2010 -200.0
2020 -200.0
2030 -200.0
2040 -200.0
2050 -200.0
2060 -200.0
2070 -200.0
2080 -199.8
2090 -199.7
2100 -199.2
2110 -198.2
2120 -195.5
2130 -192.0
2140 -192.0
2150 -191.8
2160 -191.6
2170 -189.8
2180 -188.4
2190 -184.3
2200 -180.4
2210 -178.4
2220 -180.3
2230 -180.9
2240 -180.0
2250 -179.6
2260 -178.3
2270 -179.7
2280 -180.6
2290 -183.9
2300 -188.3
2310 -191.3
2320 -192.1
2330 -194.9
2340 -195.8
2350 -196.5
2360 -197.5
2370 -197.9
2380 -198.7
2390 -199.6
2400 -199.6
2410 -199.6
2420 -199.6
2430 -199.6
2440 -199.6
2450 -199.6
2460 -200.0
2470 -200.0
2480 -200.0
2490 -200.0
2500 -200.0
2510 -200.0
2520 -200.0
2530 -200.0
2540 -200.0
2550 -200.0
2560 -200.0
2570 -200.0
2580 -200.0
2590 -200.0
2600 -200.0
2610 -200.0
2620 -200.0
2630 -200.0
2640 -200.0
2650 -200.0
2660 -200.0
2670 -200.0
2680 -200.0
2690 -200.0
2700 -200.0
2710 -200.0
2720 -200.0
2730 -200.0
2740 -200.0
2750 -200.0
