r,l,t
-80.915747,50,1.234886
-52.453824,50,1.267882
-28.780282,50,1.873098
-32.950525,50,1.907614
-69.961005,50,2.270396
-39.221493,50,2.31216
-50.589051,50,2.674941
-64.981635,50,2.707376
-62.399565,50,3.068434
-57.861249,50,3.099685
-31.083879,50,3.466492
-51.06708,50,3.507126
-71.845014,50,3.873189
-64.735531,50,3.910386
-64.724556,50,4.274459
-82.450968,50,4.315437
-61.271259,50,4.682755
-55.318171,50,4.723072
-82.505918,50,5.085498
-41.384502,50,5.125261
-101.389941,50,5.53285
-59.569573,50,5.576758
-53.49916,50,5.975964
-41.569424,50,6.019629
-35.580605,50,6.429879
-40.169151,50,6.46969
-58.030177,50,6.874142
-50.773586,50,6.921375
-76.880539,50,7.336443
-52.69515,50,7.387023
-61.283706,50,7.787868
-59.968972,50,7.82877
-39.18832,50,8.244863
-66.179397,50,8.290259
-38.492381,50,8.704772
-81.54577,50,8.743844
-42.342598,50,9.149536
-55.412186,50,9.190554
-44.632272,50,9.57896
-41.296744,50,9.612067
-61.581998,50,10.057547
-54.284971,50,10.102297
-37.207888,50,10.478956
-34.159308,50,10.513549
-51.487739,50,10.904446
-43.526878,50,10.944031
-44.994527,50,11.333114
-50.15531,50,11.380405
-62.548177,50,11.749491
-52.476376,50,11.787339
-43.36809,50,12.172241
-23.798924,50,12.218077
-62.085451,50,12.600715
-41.948588,50,12.633466
-31.413228,50,13.001215
-44.473194,50,13.039024
-27.261687,50,13.430777
-49.335748,50,13.466323
-29.508562,50,13.859442
-29.982305,50,13.89579
-31.37814,50,14.286823
-45.558203,50,14.322438
-16.589135,50,14.72079
-80.515695,50,14.765983
-49.115604,50,15.162636
-50.295888,50,15.206274
-82.064526,50,15.595477
-67.05227,50,15.63494
-49.091441,50,16.028532
-24.752398,50,16.063176
-46.080072,50,16.44944
-41.516792,50,16.482933
-25.736646,50,16.89251
-39.135132,50,16.936105
-33.449609,50,17.345112
-31.378188,50,17.383441
-38.452549,50,17.789253
-64.901626,50,17.829594
-47.771914,50,18.221764
-18.874326,50,18.263891
-64.366328,50,18.646911
-35.056335,50,18.688883
-68.975072,50,19.065439
-64.407051,50,19.106614
-17.435846,50,19.497195
-35.37414,50,19.536516
-65.662684,50,19.917421
-27.083283,50,19.958975
-29.684725,50,20.349725
-22.360005,50,20.389987
-30.139956,50,20.786897
-21.29938,50,20.84489
-24.589979,50,21.272481
-33.04067,50,21.316989
-20.160014,50,21.691184
-58.138531,50,21.730214
-37.202938,50,22.096271
-25.376276,50,22.140769
-30.653402,50,22.515677
-70.937441,50,22.55057
-22.688686,50,22.935535
-15.726979,50,22.97649
-39.136654,50,23.358195
-40.331946,50,23.400195
-36.053728,50,23.781181
-27.599677,50,23.824903
-51.068688,50,24.209998
-30.645774,50,24.253838
-57.112801,50,24.646484
-54.712392,50,24.684621
-55.086982,50,25.058673
-38.410585,50,25.103062
-6.854352,50,25.480366
-50.864681,50,25.522788
-17.763882,50,25.893921
-65.437158,50,25.93222
-23.871012,50,26.30735
-52.202886,50,26.341341
-16.120382,50,26.733111
-31.749375,50,26.77738
-47.794733,50,27.185207
-32.837794,50,27.22448
-18.829184,50,27.602268
-23.222971,50,27.637275
-51.199625,50,28.019636
-34.07573,50,28.060007
-58.883183,50,28.459122
-58.396962,50,28.500296
-26.911536,50,28.899245
-39.201418,50,28.943781
-32.524232,50,29.35907
-29.141942,50,29.403863
-15.116598,50,29.791878
-39.429855,50,29.832742
-25.970043,50,30.224079
-30.314776,50,30.260465
-40.413055,50,30.646584
-21.463902,50,30.68854
-25.140974,50,31.093279
-43.438909,50,31.14507
-42.543892,50,31.541865
-40.13381,50,31.573898
-25.174428,50,31.966334
-30.385796,50,32.001486
-33.895923,50,32.420212
-20.32994,50,32.473304
-40.913347,50,32.890128
-33.625618,50,32.9388
-27.385813,50,33.341313
-41.201804,50,33.385642
-33.834597,50,33.79468
-22.952713,50,33.833349
-15.247429,50,34.233104
-25.329966,50,34.284436
-34.502765,50,34.732007
-28.992771,50,34.777426
-22.738617,50,35.193036
-30.047916,50,35.24983
-33.127076,50,35.655397
-26.233929,50,35.694021
-39.437503,50,36.087352
-28.114624,50,36.124619
-50.887974,50,36.496744
-10.914939,50,36.539851
-50.889384,50,36.918735
-35.715215,50,36.956975
-32.469354,50,37.367537
-6.863891,50,37.407856
-40.372369,50,37.793746
