#{"t_start": 1522608444.2614212, "env_id": "Reacher-v2"}
r,l,t
-101.994405,50,0.446119
-93.685978,50,0.470796
-114.734351,50,0.494592
-120.969205,50,0.518232
-110.565777,50,0.541829
-109.123065,50,0.56554
-88.736768,50,0.589144
-111.644444,50,0.612714
-112.997915,50,0.636712
-107.974434,50,0.660403
-111.646693,50,0.684182
-104.007986,50,0.707937
-123.010046,50,0.731623
-111.053379,50,0.755162
-134.109576,50,0.77956
-109.024356,50,0.802618
-146.117281,50,0.826073
-108.466457,50,0.84979
-123.104798,50,0.873771
-94.576977,50,0.897549
-109.97199,50,0.921119
-102.136185,50,0.94461
-111.050922,50,0.96829
-89.528496,50,0.992124
-104.006315,50,1.01576
-109.425637,50,1.039792
-90.73129,50,1.063462
-141.244603,50,1.087252
-108.57141,50,1.11088
-103.541381,50,1.134979
-111.441073,50,1.158548
-97.421693,50,1.182132
-109.762549,50,1.205819
-108.000632,50,1.229546
-114.120594,50,1.253109
-113.286817,50,1.276753
-97.383602,50,1.300539
-140.111923,50,1.324167
-118.437541,50,1.347797
-117.16687,50,1.371474
-116.915313,50,1.832113
-102.772916,50,1.857613
-98.236064,50,1.881239
-94.606317,50,1.904934
-82.69838,50,1.928449
-126.894696,50,1.952026
-82.064387,50,1.975708
-101.262819,50,1.999967
-108.395703,50,2.023704
-105.570255,50,2.047344
-128.049653,50,2.071155
-75.802513,50,2.096257
-114.34881,50,2.119831
-110.49918,50,2.143418
-107.222522,50,2.166983
-109.134037,50,2.190756
-140.510761,50,2.214195
-107.593992,50,2.237865
-119.44615,50,2.261456
-91.582497,50,2.286045
-117.306194,50,2.30993
-119.980143,50,2.333367
-86.915734,50,2.357064
-106.792576,50,2.380765
-79.091391,50,2.405341
-102.468042,50,2.428919
-103.480437,50,2.452298
-107.829329,50,2.475742
-99.58946,50,2.499272
-126.837699,50,2.522697
-101.658282,50,2.546246
-86.887405,50,2.57014
-111.822825,50,2.593711
-100.463413,50,2.617885
-109.298203,50,2.641473
-99.015975,50,2.664632
