r,l,t
-120.388668,50,0.847587
-92.991278,50,0.865797
-107.302944,50,0.883504
-100.054943,50,0.901621
-146.299451,50,0.919971
-114.852228,50,0.937271
-95.319202,50,0.954738
-119.922878,50,0.972256
-76.369932,50,0.990218
-104.963243,50,1.008074
-97.977315,50,1.025975
-103.428366,50,1.043613
-113.90278,50,1.061212
-105.804766,50,1.078763
-87.059386,50,1.096306
-103.356872,50,1.113996
-115.984093,50,1.133279
-95.693844,50,1.150366
-97.375745,50,1.167479
-96.088867,50,1.184885
-130.76861,50,1.554206
-100.79974,50,1.574604
-94.449334,50,1.592938
-104.793296,50,1.611152
-76.603903,50,1.629155
-99.82689,50,1.64706
-96.379919,50,1.664856
-125.30152,50,1.682617
-106.175463,50,1.700516
-104.229471,50,1.718546
-95.99491,50,1.736746
-101.108469,50,1.754214
-102.984831,50,1.773119
-101.52114,50,1.790686
-111.739726,50,1.809112
-104.985477,50,1.826903
-115.570527,50,1.844625
-93.730609,50,1.862272
-87.735,50,1.880509
-101.183243,50,1.89831
-127.265741,50,2.005422
-121.383846,50,2.027004
-92.588363,50,2.044817
-95.648021,50,2.062755
-83.357329,50,2.080544
-110.935222,50,2.09839
-117.465324,50,2.116797
-86.04974,50,2.134831
-83.433018,50,2.152661
-97.475969,50,2.170486
-120.540901,50,2.188231
-104.901098,50,2.206021
-115.028329,50,2.224191
-93.275986,50,2.242212
-85.202548,50,2.260087
-108.745352,50,2.277845
-104.582192,50,2.295657
-101.522351,50,2.313506
-101.097006,50,2.331282
-107.539653,50,2.349478
-94.989472,50,2.367406
-106.200061,50,2.473154
-74.970589,50,2.492691
-115.469703,50,2.510647
-91.316283,50,2.52873
-95.010316,50,2.54661
-100.358663,50,2.564583
-82.676796,50,2.582884
-87.125984,50,2.601219
-109.010462,50,2.619317
-106.127031,50,2.637181
-74.763733,50,2.655117
-84.19381,50,2.672913
-84.744826,50,2.690728
-91.103013,50,2.708437
-87.628276,50,2.726321
-88.260842,50,2.744082
-100.944809,50,2.761797
-113.2855,50,2.779586
-95.287564,50,2.797345
-83.920785,50,2.815136
-90.132863,50,2.914811
-83.488933,50,2.933418
-85.040644,50,2.950962
-70.252895,50,2.968996
-110.05166,50,2.986938
