EpThisIter,EpisodesSoFar,entloss,TimestepsSoFar,EpRewMean,entropy,EpLenMean,TimeElapsed,ev_tdlam_before,surrgain,optimgain,meankl
20,20,0.0,1000,-104.75684004327304,2.7583625,50.0,0.7355098724365234,-0.0013974905014038086,0.02724816,0.02724816,0.00880973
20,40,0.0,2000,-103.77547199831176,2.693387,50.0,1.1962273120880127,0.13972365856170654,0.021662598,0.021662598,0.0077361423
21,61,0.0,3050,-101.9535232805688,2.6042576,50.0,1.6546034812927246,0.16103971004486084,0.025215132,0.025215132,0.008340836
20,81,0.0,4050,-97.45401919583486,2.562195,50.0,2.1048853397369385,0.03378862142562866,0.021259021,0.021259021,0.0070205363
21,102,0.0,5100,-89.65720904893281,2.5102043,50.0,2.554469108581543,0.03729259967803955,0.025093945,0.025093945,0.0073953774
20,122,0.0,6100,-84.87735511468489,2.4477265,50.0,3.1514322757720947,0.032207608222961426,0.020049073,0.020049073,0.007112588
21,143,0.0,7150,-81.89119672967786,2.4093144,50.0,3.741161346435547,0.0319371223449707,0.030158574,0.030158574,0.007618946
20,163,0.0,8150,-79.46468844972485,2.3419976,50.0,4.271883964538574,0.014991819858551025,0.03244775,0.03244775,0.007691194
21,184,0.0,9200,-75.18743213620007,2.2686496,50.0,4.817334890365601,0.016563236713409424,0.028559845,0.028559845,0.007781351
20,204,0.0,10200,-71.62699179348802,2.2077608,50.0,5.350725889205933,0.04514342546463013,0.028055154,0.028055154,0.0077958712
21,225,0.0,11250,-68.12078497638082,2.1653888,50.0,5.863342046737671,0.07615840435028076,0.024795642,0.024795642,0.006683658
20,245,0.0,12250,-63.39215534412979,2.1249247,50.0,6.364718914031982,0.029567480087280273,0.029258294,0.029258294,0.00800045
21,266,0.0,13300,-61.44856732045855,2.0818903,50.0,6.880339622497559,0.11772000789642334,0.029126165,0.029126165,0.006860721
20,286,0.0,14300,-59.96673011742659,2.026379,50.0,7.361485004425049,0.19768595695495605,0.025453128,0.025453128,0.0059015816
21,307,0.0,15350,-58.24924076721525,2.0089114,50.0,7.822660207748413,0.22627568244934082,0.025747553,0.025747553,0.0054096077
20,327,0.0,16350,-55.816351443315554,1.9670401,50.0,8.277408599853516,0.3292997479438782,0.029045375,0.029045375,0.0073692985
21,348,0.0,17400,-53.24857136404862,1.9206846,50.0,8.767492771148682,0.3412994146347046,0.029249936,0.029249936,0.006896885
20,368,0.0,18400,-52.133448267174536,1.906128,50.0,9.24536681175232,0.4395183324813843,0.026259832,0.026259832,0.0049193255
21,389,0.0,19450,-51.90902272871001,1.8612704,50.0,9.697425842285156,0.44694727659225464,0.032737315,0.032737315,0.0071338927
20,409,0.0,20450,-52.613091745733314,1.7886161,50.0,10.150266170501709,0.558009147644043,0.04099494,0.04099494,0.007648778
21,430,0.0,21500,-50.1766145563649,1.7044032,50.0,10.629540205001831,0.5178070962429047,0.032260433,0.032260433,0.007374342
20,450,0.0,22500,-46.350475600803726,1.6202438,50.0,11.115011215209961,0.5367894470691681,0.031650063,0.031650063,0.007101442
21,471,0.0,23550,-44.5130200285147,1.5564679,50.0,11.592880725860596,0.5796024799346924,0.026731102,0.026731102,0.006603225
20,491,0.0,24550,-42.26047900400353,1.5027821,50.0,12.099181175231934,0.44315797090530396,0.030346954,0.030346954,0.0069864225
21,512,0.0,25600,-39.69919258961977,1.4300954,50.0,12.69357442855835,0.5594494640827179,0.03408189,0.03408189,0.0073124734
20,532,0.0,26600,-37.95082565488006,1.3763634,50.0,13.16677975654602,0.6487800478935242,0.032578237,0.032578237,0.0071892226
20,552,0.0,27600,-35.78301067788911,1.3497161,50.0,13.644774436950684,0.4379405379295349,0.029741004,0.029741004,0.005965288
21,573,0.0,28650,-34.65037481429963,1.2887725,50.0,14.149133443832397,0.48629212379455566,0.032250836,0.032250836,0.0071341023
20,593,0.0,29650,-33.79115338372818,1.2672473,50.0,14.720415353775024,0.6168871223926544,0.033956654,0.033956654,0.006078516
21,614,0.0,30700,-31.580297198743608,1.226541,50.0,15.212059497833252,0.6106091737747192,0.032077413,0.032077413,0.0074366475
20,634,0.0,31700,-31.336081982905938,1.1895844,50.0,15.677186727523804,0.49176162481307983,0.030691938,0.030691938,0.0062791603
21,655,0.0,32750,-31.64163393602356,1.129206,50.0,16.14369821548462,0.5720497667789459,0.037288386,0.037288386,0.007409826
20,675,0.0,33750,-29.796164638056734,1.0805665,50.0,16.599339723587036,0.6924594938755035,0.038838685,0.038838685,0.0075564124
21,696,0.0,34800,-28.40980351294804,1.0759597,50.0,17.06220579147339,0.6274186074733734,0.034464754,0.034464754,0.0060867136
20,716,0.0,35800,-27.85351796517778,1.0379277,50.0,17.5215265750885,0.7255791127681732,0.034024637,0.034024637,0.0071295644
21,737,0.0,36850,-27.463295492125052,0.9930897,50.0,17.97780752182007,0.6224230229854584,0.036520462,0.036520462,0.007484169
20,757,0.0,37850,-27.198979577101056,0.9501358,50.0,18.424022912979126,0.5732494294643402,0.039081343,0.039081343,0.007383153
21,778,0.0,38900,-26.806347743003062,0.930039,50.0,18.91391134262085,0.5222949087619781,0.034920827,0.034920827,0.0074588433
20,798,0.0,39900,-25.637611225597414,0.8872931,50.0,19.37576127052307,0.5926174521446228,0.037709065,0.037709065,0.007591569
21,819,0.0,40950,-25.764460804586328,0.85791224,50.0,19.846162796020508,0.5637572705745697,0.036522478,0.036522478,0.0066443896
20,839,0.0,41950,-25.675968051289793,0.8255365,50.0,20.330976724624634,0.5853045880794525,0.03401815,0.03401815,0.007352866
21,860,0.0,43000,-24.810988622416136,0.7834415,50.0,20.795053243637085,0.6124574840068817,0.03709827,0.03709827,0.007900411
20,880,0.0,44000,-24.580177757242204,0.7510203,50.0,21.253973245620728,0.7083026468753815,0.03546209,0.03546209,0.007746775
21,901,0.0,45050,-24.318257369562627,0.70977014,50.0,21.760208129882812,0.6588979065418243,0.03528993,0.03528993,0.00728836
20,921,0.0,46050,-22.768438946126594,0.665499,50.0,22.20676875114441,0.6432289481163025,0.04133488,0.04133488,0.007192998
21,942,0.0,47100,-22.244352714513447,0.662468,50.0,22.651804447174072,0.665766179561615,0.033089444,0.033089444,0.007466899
20,962,0.0,48100,-22.95912498387505,0.6297003,50.0,23.10564160346985,0.5892659425735474,0.03720808,0.03720808,0.0075905398
21,983,0.0,49150,-22.799367962986146,0.6039454,50.0,23.559119701385498,0.6045038104057312,0.029821148,0.029821148,0.00779218
20,1003,0.0,50150,-22.091302269579025,0.568349,50.0,24.009767055511475,0.5120632946491241,0.03934849,0.03934849,0.007006852
21,1024,0.0,51200,-21.190403229058383,0.5153887,50.0,24.462072372436523,0.6638109087944031,0.04047917,0.04047917,0.008328453
20,1044,0.0,52200,-20.74814871943853,0.4627266,50.0,24.907833337783813,0.7031898200511932,0.040978923,0.040978923,0.008826255
20,1064,0.0,53200,-20.352313353172597,0.45361605,50.0,25.37340784072876,0.6827983558177948,0.034952916,0.034952916,0.008011108
21,1085,0.0,54250,-19.715454553715276,0.41351593,50.0,25.825350761413574,0.7063122987747192,0.03458571,0.03458571,0.006659376
20,1105,0.0,55250,-19.328785680023596,0.37701893,50.0,26.276507139205933,0.647771030664444,0.039307445,0.039307445,0.007910318
21,1126,0.0,56300,-19.408473590056083,0.31949612,50.0,26.728035926818848,0.744881272315979,0.040321216,0.040321216,0.0087383315
20,1146,0.0,57300,-18.961902751610644,0.31915653,50.0,27.194998741149902,0.6841933727264404,0.043132957,0.043132957,0.008063456
21,1167,0.0,58350,-18.31961089802761,0.26121128,50.0,27.65912175178528,0.6765310764312744,0.041944858,0.041944858,0.008633915
20,1187,0.0,59350,-18.05009982827671,0.2373295,50.0,28.114442825317383,0.7319054305553436,0.031992894,0.031992894,0.008143434
21,1208,0.0,60400,-18.298783192950697,0.22115885,50.0,28.58728003501892,0.698501855134964,0.043389343,0.043389343,0.0075594527
20,1228,0.0,61400,-18.692886073886967,0.18639944,50.0,29.06595540046692,0.7461174726486206,0.03514856,0.03514856,0.0075722365
21,1249,0.0,62450,-17.83925675686435,0.15995999,50.0,29.518733739852905,0.7661907523870468,0.044387616,0.044387616,0.01035075
20,1269,0.0,63450,-17.29558049472812,0.12502457,50.0,29.986406803131104,0.7015861570835114,0.038719747,0.038719747,0.008670179
21,1290,0.0,64500,-16.87033141321483,0.09346684,50.0,30.443992137908936,0.6322784125804901,0.04160311,0.04160311,0.009811547
20,1310,0.0,65500,-16.162613732895323,0.023584444,50.0,30.916139125823975,0.7542417496442795,0.036177512,0.036177512,0.009166202
21,1331,0.0,66550,-16.603461800184952,-0.0034259558,50.0,31.37179684638977,0.6741225719451904,0.04307098,0.04307098,0.008548934
20,1351,0.0,67550,-16.345102156245737,-0.022545338,50.0,31.82662582397461,0.7726873159408569,0.043272305,0.043272305,0.007832889
